"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Plekhg2",2893.61216470802,0.526007099916822,0.0798021966925586,6.59138622390667,4.35738687649572e-11,2.38352242718678e-09
"Plekhg3",69.1082221920218,-0.29684824160133,0.248374997304559,-1.19516152923127,0.232023926015246,0.393606985500542
"Plekhg1",14.333280112379,0.0327941162350757,0.690767852725752,0.0474748732235743,0.962134756011942,0.982522022423314
"Plekhg6",7.58702572136412,0.750602093528603,0.535440108040919,1.40184136798217,0.160962622185527,0.304494229624724
"4930592I03Rik",0.725432518265044,1.8848689696825,3.03689112954274,0.620657405643086,0.534825060376115,NA
"Plekhg4",18.7258833821506,0.168142567020116,0.581639149786059,0.289083991478157,0.772517103802945,0.866099832355415
"Plekhg5",71.2258942014528,-0.108539408255093,0.208418190784956,-0.520777038924991,0.602522100055098,0.743381728319543
"Nsa2",10597.5397616876,-0.322098599252331,0.086910768376783,-3.70608389809582,0.000210488598618891,0.00157977121487227
"Nampt",4763.47674036151,-0.394519267323884,0.0670912516476036,-5.88033845897069,4.09428415746079e-09,1.3457265559654e-07
"Gm41952",0.0902334285630597,0,6.00582262390151,0,1,NA
"Gm41953",0.436789957265014,1.90516452849012,5.97593768372433,0.318805956373826,0.749873661255691,NA
"Gm41950",0,NA,NA,NA,NA,NA
"Vmo1",0.17050175901662,0,6.0058226238711,0,1,NA
"Gm41956",0,NA,NA,NA,NA,NA
"Man2a1",1279.89074142927,0.0472791751774377,0.12153666537531,0.389011620743731,0.697267550035985,0.813794679232549
"F930015N05Rik",0.778287876823641,-0.133110975722216,3.86819517848723,-0.0344116492524747,0.972548894214157,NA
"Gm41955",0,NA,NA,NA,NA,NA
"Gm41958",37.9798371771045,0.982748336073993,0.379399613064096,2.59027237307163,0.00959000207802589,0.0346599833965402
"Mier1",4244.95359769576,-0.0832327553972927,0.079940178415146,-1.04118801142834,0.297788298630066,0.465795347512777
"Mier2",1675.19370236019,0.162105270712612,0.0531294852841858,3.05113572709245,0.00227977493461685,0.0108888676609424
"Mier3",953.965501064988,-0.0967423881238582,0.0755543925700262,-1.28043366948115,0.200392658909619,0.354937978224694
"C330002G04Rik",0,NA,NA,NA,NA,NA
"Aqp11",15.1572866249943,-0.909289013142091,0.401580239235785,-2.26427728334563,0.0235570658613264,0.0711841336954759
"Aqp12",0,NA,NA,NA,NA,NA
"1810010H24Rik",16.1412645803172,-0.258859986459353,0.462524431778731,-0.559667703312136,0.575706115555976,0.722609769697092
"LOC115490435",76.8243442554539,-0.432378310656235,0.221651603596828,-1.95071140312031,0.0510913861165993,0.128590712865758
"Tubal3",0.433960361735603,-0.974577568920535,5.59563266478361,-0.174167538740362,0.861733795932467,NA
"Dag1",1052.51772974479,0.149940128945469,0.0909749479936396,1.64814745435141,0.0993224164157942,0.212572380014269
"Myadm",38.4768723849523,-0.445014578827117,0.375321737371358,-1.18568826293907,0.235745431354708,0.397900059137878
"LOC115490439",0.40696097124579,0,4.90586958219796,0,1,NA
"Gm41951",0,NA,NA,NA,NA,NA
"Gm15008",3.01308020536327,-0.385939481306074,0.824500424504068,-0.468088881261904,0.63972103016133,NA
"Sacs",3093.8587469261,0.0478993224269141,0.138770495164685,0.345169355849526,0.729967055130925,0.835061592232702
"Gm31819",0,NA,NA,NA,NA,NA
"Zfp712",86.3631113064675,-0.145417523895128,0.199046357380709,-0.73057113834539,0.465041146321726,0.631058098784068
"Zfp710",443.093230383571,-0.127977500776011,0.084322998621926,-1.51770576079506,0.129088591162047,0.259214871963661
"Zfp711",1.98190697549054,0.354209122401852,2.13366826872804,0.166009462479849,0.868149503521601,NA
"Gm41954",0,NA,NA,NA,NA,NA
"Zfp715",860.114082708314,0.0708109739431581,0.0950492915152962,0.744992127918834,0.456276478807778,0.622829860143077
"Mllt6",8463.34421315672,-0.0156154220564309,0.0874189622189658,-0.178627401424849,0.858230277296776,0.920769892349612
