"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Plekhg2",2893.61216470802,2.23853901267861,0.0833651851309449,26.8522046602841,7.94911688485806e-159,1.27467702483647e-156
"Plekhg3",69.1082221920218,0.758483429499383,0.286195014402451,2.6502328528784,0.0080436311963917,0.0165652785374376
"Plekhg1",14.333280112379,-0.553792581448093,0.442278458331862,-1.25213555174455,0.21052047508621,0.30565237139235
"Plekhg6",7.58702572136412,0.919153566373935,0.700722678730072,1.31172230366474,0.189613848497713,0.279540017035412
"4930592I03Rik",0.725432518265044,2.62636159579118,2.95039490380472,0.890172902754245,0.373373052253339,NA
"Plekhg4",18.7258833821506,-2.94856432195913,0.568810530521646,-5.18373722662106,2.17483293196922e-07,7.21630513299569e-07
"Plekhg5",71.2258942014528,-0.285016371918797,0.212561199969719,-1.34086734530761,0.179963526038194,0.267992962075787
"Nsa2",10597.5397616876,-0.380322634918328,0.0868924149803356,-4.37693710094716,1.20358688729598e-05,3.47634994350971e-05
"Nampt",4763.47674036151,-1.18891030753828,0.0647948439112418,-18.3488412930956,3.37227419952344e-75,1.39693290655994e-73
"Gm41952",0.0902334285630597,0,6.00631008342227,0,1,NA
"Gm41953",0.436789957265014,-3.09664412254583,5.93301977988472,-0.521933894952563,0.601716357622609,NA
"Gm41950",0,NA,NA,NA,NA,NA
"Vmo1",0.17050175901662,0,6.00631008342226,0,1,NA
"Gm41956",0,NA,NA,NA,NA,NA
"Man2a1",1279.89074142927,1.40836704215676,0.130857714291374,10.7625832361769,5.17002403883227e-27,4.63384420838224e-26
"F930015N05Rik",0.778287876823641,0,4.15324999863209,0,1,NA
"Gm41955",0,NA,NA,NA,NA,NA
"Gm41958",37.9798371771045,-0.0528972933578129,0.368552317534546,-0.143527230303889,0.885873807204765,0.930502476346385
"Mier1",4244.95359769576,0.838391255460351,0.0812013449816549,10.3248444425368,5.44069226840401e-25,4.52680994916879e-24
"Mier2",1675.19370236019,-0.644558772981859,0.0502370526551143,-12.8303461074212,1.1086779182977e-37,1.51011349813538e-36
"Mier3",953.965501064988,-0.227574921727274,0.0781448235738753,-2.91222004631098,0.00358869727796818,0.00782266822615925
"C330002G04Rik",0,NA,NA,NA,NA,NA
"Aqp11",15.1572866249943,1.46218993567776,0.432664096983036,3.3795037440675,0.000726168182850662,0.00174104670073438
"Aqp12",0,NA,NA,NA,NA,NA
"1810010H24Rik",16.1412645803172,0.205245857207532,0.474623213711906,0.432439567383054,0.665421965746037,0.758130606755868
"LOC115490435",76.8243442554539,1.62681231848311,0.258552289770166,6.29200507150498,3.13391242251731e-10,1.26438886598314e-09
"Tubal3",0.433960361735603,1.64675157955793,5.67229040031503,0.290315104365332,0.771575184598108,NA
"Dag1",1052.51772974479,1.20846344362756,0.0998550797405225,12.1021729366979,1.02852107331073e-33,1.20947221414186e-32
"Myadm",38.4768723849523,-0.165596933411959,0.411787939773909,-0.40214129025459,0.687580046691737,0.775610695376066
"LOC115490439",0.40696097124579,1.62561788922964,4.87179439971424,0.333679493807249,0.738621425127849,NA
"Gm41951",0,NA,NA,NA,NA,NA
"Gm15008",3.01308020536327,1.79018563114862,1.31932144215148,1.35689876170683,0.174813380373542,0.261402493637094
"Sacs",3093.8587469261,-0.561576887953801,0.138523555021043,-4.05401729596453,5.03454915517161e-05,0.000137128493743163
"Gm31819",0,NA,NA,NA,NA,NA
"Zfp712",86.3631113064675,1.24086537089877,0.222737622502557,5.57097340340217,2.53320001421698e-08,9.00687664800914e-08
"Zfp710",443.093230383571,1.47626515993335,0.112531646668797,13.1186666474213,2.57424248081244e-39,3.68563824018269e-38
