"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Plekhg2",2893.61216470802,-0.0460800788277966,0.0792106803363895,-0.581740727792075,0.560741333777942,0.717471690159921
"Plekhg3",69.1082221920218,-0.94574273845309,0.256846709357387,-3.68212908321571,0.000231294241280659,0.00134887089750701
"Plekhg1",14.333280112379,0.413200524053573,0.463992058634211,0.890533612298998,0.37317942842763,0.554650547472353
"Plekhg6",7.58702572136412,0.384893071672563,0.637589868390529,0.603668738720944,0.546063902046367,NA
"4930592I03Rik",0.725432518265044,1.8821863249076,2.95039490380471,0.637943863880866,0.523510222882313,NA
"Plekhg4",18.7258833821506,-0.000747070652261956,0.677682624599194,-0.00110239015306583,0.999120420095041,0.999705727898261
"Plekhg5",71.2258942014528,-0.027811301543459,0.213205140040225,-0.130443860491412,0.896215267355203,0.942934119746015
"Nsa2",10597.5397616876,0.0441548440650093,0.0869467507765929,0.507837770481658,0.611567119026304,0.756582445846575
"Nampt",4763.47674036151,-0.0796829257525375,0.0654646505517016,-1.21719011834649,0.223531889024688,0.38721345482167
"Gm41952",0.0902334285630597,0,6.00631008342226,0,1,NA
"Gm41953",0.436789957265014,0,6.00631008342227,0,1,NA
"Gm41950",0,NA,NA,NA,NA,NA
"Vmo1",0.17050175901662,0,6.00631008342227,0,1,NA
"Gm41956",0,NA,NA,NA,NA,NA
"Man2a1",1279.89074142927,-0.362195607279142,0.124574554638281,-2.90746058318913,0.00364376262004959,0.0143689386552259
"F930015N05Rik",0.778287876823641,0,4.15324999863209,0,1,NA
"Gm41955",0,NA,NA,NA,NA,NA
"Gm41958",37.9798371771045,-0.139419519461988,0.362558336631144,-0.384543686837987,0.700575522825851,0.819016422304281
"Mier1",4244.95359769576,-0.365866487396404,0.0800212676061506,-4.57211561802707,4.82824386978404e-06,4.54360359757088e-05
"Mier2",1675.19370236019,0.322486760084083,0.0523558681790126,6.15951508972121,7.29680280172919e-10,1.71902609453151e-08
"Mier3",953.965501064988,-0.130210650514429,0.0777482706801181,-1.67477230522796,0.0939789146496953,0.202767707211975
"C330002G04Rik",0,NA,NA,NA,NA,NA
"Aqp11",15.1572866249943,-0.181995549194859,0.356205946905256,-0.510927879716916,0.609401558215397,0.754860202289473
"Aqp12",0,NA,NA,NA,NA,NA
"1810010H24Rik",16.1412645803172,-0.785112522264666,0.440762751099318,-1.78125878447418,0.0748701843045816,0.170248992900284
"LOC115490435",76.8243442554539,0.410308966564138,0.228263245752124,1.79752533182544,0.0722522602884827,0.165341631984898
"Tubal3",0.433960361735603,-0.522062580771969,5.61331119582086,-0.0930043894877318,0.925900074032858,NA
"Dag1",1052.51772974479,-0.764147021832028,0.0924452029664188,-8.26594563386495,1.38591706589236e-16,1.2217529540873e-14
"Myadm",38.4768723849523,-0.33312614725827,0.404333663553759,-0.823889221417692,0.410002505379109,0.589402865176239
"LOC115490439",0.40696097124579,-0.0258609909478416,4.83529285452635,-0.00534838152018713,0.99573262930459,NA
"Gm41951",0,NA,NA,NA,NA,NA
"Gm15008",3.01308020536327,-0.164625062978182,0.963481465749552,-0.170864794840771,0.864330079174993,NA
"Sacs",3093.8587469261,0.244722473874905,0.138893185877401,1.7619473002147,0.0780782018715212,0.176107717129823
"Gm31819",0,NA,NA,NA,NA,NA
"Zfp712",86.3631113064675,-0.552728852975192,0.189414758470368,-2.91808757373919,0.00352185424109962,0.0139607242095692
"Zfp710",443.093230383571,-0.646274106284828,0.0906133559346589,-7.13221687485954,9.8765089222617e-13,4.62166499704739e-11
"Zfp711",1.98190697549054,-1.84252880051535,2.55437714464568,-0.721322144765326,0.470711335271609,NA
"Gm41954",0,NA,NA,NA,NA,NA
"Zfp715",860.114082708314,-0.0465793691103277,0.0975074395291782,-0.477700669151395,0.632863267986541,0.77269672733474
"Mllt6",8463.34421315672,0.00448080648635303,0.0870519683250836,0.0514727762343072,0.958948794504322,0.978636198726506
"Zfp719",335.496172872716,-0.515305344510155,0.116193462839339,-4.43489101639623,9.21188783916764e-06,8.0428904430918e-05
"Mllt1",3721.02028447552,0.238449034805486,0.083481713526918,2.85630259288581,0.0042860644003885,0.0164047013912909
"Mllt3",1474.16359564182,-0.408090440493354,0.0804724110678769,-5.07118446033806,3.95347339331965e-07,4.80607299344482e-06
"LOC108167749",0.23966289195278,-1.80157920264197,5.98083797703322,-0.30122521452013,0.76324276381237,NA
"LOC108167740",0.120887439256484,0,6.00631008342227,0,1,NA
"Btg4",0.819134546609401,2.86613498721286,3.60548335061736,0.794937795711107,0.426649687157218,NA
"Btg3",2007.10086864102,-0.0664082567980935,0.0829499815243478,-0.800581935977902,0.423373711782662,0.601474152401569
"Btg2",5919.19558730918,-1.32056708984054,0.0913939346354048,-14.4491764700649,2.5370108274434e-47,5.77761932436443e-44
"Btg1",58299.5595514981,-0.222322373024567,0.0417161632835455,-5.32940605092175,9.85344752176344e-08,1.40687050091302e-06
"Smok3a",0,NA,NA,NA,NA,NA
"Smok3c",0,NA,NA,NA,NA,NA
"Duxf3",7.02506932726205,0.659670332699965,1.41401529211804,0.46652277127205,0.640841352034888,NA
"Nupl1",2837.81995140319,0.0151934012122555,0.0795406962125039,0.191014184382599,0.848514480237719,0.915516571223009
"Nupl2",501.038988976311,0.471458977871419,0.117279776472883,4.01995119747205,5.82101984085531e-05,0.000402522343651048
"Hoxd3os1",0,NA,NA,NA,NA,NA
"Ttc30a2",8.78686031084105,-0.547360194207886,0.652955888851483,-0.838280507999807,0.401873180519334,0.581662605851337
"Npat",2174.23280945453,0.0305429052580261,0.0718007728414014,0.425384073866328,0.670556713993774,0.799030865964151
"Ttc30a1",93.3539516144838,0.490777451063231,0.194523002699093,2.52297900121567,0.0116365349479086,0.0377945361369676
