"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Plekhg2",2893.61216470802,0.922535905726818,0.0802107295858116,11.5014027486169,1.29788764686821e-30,7.34665794705302e-29
"Plekhg3",69.1082221920218,0.747120145835223,0.283015411601557,2.63985675411576,0.00829410761635523,0.021836545115027
"Plekhg1",14.333280112379,-0.290482519689652,0.445810764110834,-0.651582561648141,0.514670500293294,0.6552164905717
"Plekhg6",7.58702572136412,0.358343134657747,0.642855347583662,0.557424210601455,0.57723762774692,0.707661992602593
"4930592I03Rik",0.725432518265044,-0.446557716770843,2.78052239687757,-0.160602093071543,0.872406806267231,NA
"Plekhg4",18.7258833821506,-2.80881444111139,0.569183018830989,-4.93481770921459,8.02256538746192e-07,4.21769950006039e-06
"Plekhg5",71.2258942014528,-0.213402956199498,0.211882190667404,-1.00717741083998,0.31384952633045,0.460115514944257
"Nsa2",10597.5397616876,-0.212479327367415,0.0869055892998367,-2.44494432497697,0.0144874504347644,0.0358707303139468
"Nampt",4763.47674036151,-0.954480251869267,0.064862883543629,-14.7153533688839,5.13771543592732e-49,1.17921126204058e-46
"Gm41952",0.0902334285630597,0,6.00631008342227,0,1,NA
"Gm41953",0.436789957265014,-2.55172062115883,5.94800840393737,-0.429004205755607,0.6679201639971,NA
"Gm41950",0,NA,NA,NA,NA,NA
"Vmo1",0.17050175901662,0,6.00631008342227,0,1,NA
"Gm41956",0,NA,NA,NA,NA,NA
"Man2a1",1279.89074142927,0.353610371048114,0.126221073744149,2.80151610629525,0.00508631021005968,0.0141188084111249
"F930015N05Rik",0.778287876823641,0,4.15324999863209,0,1,NA
"Gm41955",0,NA,NA,NA,NA,NA
"Gm41958",37.9798371771045,-0.790369790593949,0.354307780994858,-2.23074353144228,0.0256981223342614,0.0593728681343837
"Mier1",4244.95359769576,0.397959678538627,0.0806019575532043,4.93734507968915,7.9193270599538e-07,4.16603845806989e-06
"Mier2",1675.19370236019,-0.344810678192998,0.0506699954899982,-6.8050268183083,1.01030414547988e-11,9.44096260876482e-11
"Mier3",953.965501064988,0.0456705959893565,0.0787202617077792,0.580163162552638,0.561804592723106,0.695253412443729
"C330002G04Rik",0,NA,NA,NA,NA,NA
"Aqp11",15.1572866249943,1.57826078693734,0.432767978929391,3.64689825444511,0.000265424961983856,0.000951475232785516
"Aqp12",0,NA,NA,NA,NA,NA
"1810010H24Rik",16.1412645803172,0.439454908204164,0.479577682726939,0.916337277634289,0.359490021794412,0.509581667949693
"LOC115490435",76.8243442554539,0.320339016616211,0.228430851691666,1.40234567372975,0.16081204764264,0.27513589893316
"Tubal3",0.433960361735603,1.76129406670141,5.67229040031503,0.31050844410286,0.756174339146622,NA
"Dag1",1052.51772974479,0.609662852378845,0.0962240236586445,6.33586945544524,2.36006554562989e-10,1.94600877052307e-09
"Myadm",38.4768723849523,0.183717017014056,0.417328106734313,0.440222007694816,0.659776321714763,0.773532451915951
"LOC115490439",0.40696097124579,-0.102112261197637,4.83722476359488,-0.0211096788319901,0.983158164024798,NA
"Gm41951",0,NA,NA,NA,NA,NA
"Gm15008",3.01308020536327,-0.269576869665746,0.963328260142866,-0.279839054680869,0.779600986944414,0.861139412216596
"Sacs",3093.8587469261,-0.580171000133866,0.138458882525335,-4.19020426535443,2.78703444981009e-05,0.000117151937296959
"Gm31819",0,NA,NA,NA,NA,NA
"Zfp712",86.3631113064675,0.406144390851427,0.202003606737852,2.01057989711291,0.0443698492030461,0.0947631387376721
"Zfp710",443.093230383571,0.388597272739456,0.0976021565519124,3.98144146059693,6.84985923609884e-05,0.000271836550215149
"Zfp711",1.98190697549054,-2.96565046829164,2.44780582599743,-1.21155462446993,0.225682912868927,0.357808213959015
"Gm41954",0,NA,NA,NA,NA,NA
"Zfp715",860.114082708314,0.0937630955955054,0.0982985277059433,0.953860630303584,0.340154194182019,0.488831248264837
"Mllt6",8463.34421315672,-0.751019427276495,0.086864106221011,-8.64591210281555,5.33771920805725e-18,9.18208268285413e-17
"Zfp719",335.496172872716,0.2217882037763,0.121626406133392,1.8235201616749,0.06822464629324,0.136698966426655
"Mllt1",3721.02028447552,-0.570023226604673,0.0829231789254116,-6.87411208773607,6.23771489834702e-12,5.95176042834876e-11
"Mllt3",1474.16359564182,0.21576137757837,0.0821671892462341,2.6258824180025,0.00864246662310422,0.0226753097823538
