"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Plekhg2",2893.61216470802,0.340478471123281,0.0794356718029602,4.28621629798558,1.81742040815441e-05,0.000104250439892399
"Plekhg3",69.1082221920218,0.929965496719692,0.256820971573384,3.62106525422113,0.000293392496173916,0.00128603305696559
"Plekhg1",14.333280112379,0.407750436160668,0.493838384245961,0.825675867183268,0.408987985505034,0.569625948221823
"Plekhg6",7.58702572136412,-0.111072077944239,0.653754886277499,-0.169898658160227,0.865089836413075,0.921523884801902
"4930592I03Rik",0.725432518265044,-1.88357733859711,2.95119390666595,-0.638242486995724,0.523315843954958,NA
"Plekhg4",18.7258833821506,-2.195208685131,0.578360418584067,-3.79557212871739,0.000147303359532389,0.000696454847333354
"Plekhg5",71.2258942014528,0.0737327598578537,0.214224620775395,0.344184340674638,0.730707658038096,0.83120418178031
"Nsa2",10597.5397616876,-0.0397254707997159,0.0869519152356489,-0.456867116636312,0.647766560788063,0.769941969638272
"Nampt",4763.47674036151,-0.711294256689964,0.0648261917941892,-10.9723282673798,5.19180053462985e-28,7.35752304336116e-26
"Gm41952",0.0902334285630597,0,6.00631008342227,0,1,NA
"Gm41953",0.436789957265014,0,6.00631008342227,0,1,NA
"Gm41950",0,NA,NA,NA,NA,NA
"Vmo1",0.17050175901662,-1.9310507297709,5.97392616476142,-0.323246500963077,0.746508566860253,NA
"Gm41956",0,NA,NA,NA,NA,NA
"Man2a1",1279.89074142927,0.134134307757432,0.124189501634089,1.08007767156232,0.280107593938025,0.434726479184796
"F930015N05Rik",0.778287876823641,-1.88118283787961,4.11054308510771,-0.4576482471854,0.647205174844401,NA
"Gm41955",0,NA,NA,NA,NA,NA
"Gm41958",37.9798371771045,-0.600586020389282,0.351143503475489,-1.71037201157049,0.0871971031907489,0.177940136882059
"Mier1",4244.95359769576,0.349860837770251,0.0800202497999133,4.37215378163728,1.23026816781766e-05,7.26173907013833e-05
"Mier2",1675.19370236019,-0.38088580906316,0.0522316176525627,-7.29224607969751,3.04829722469506e-13,5.85745442498305e-12
"Mier3",953.965501064988,0.0153908405004476,0.0774083991595658,0.198826492571196,0.842398471634772,0.907290771483104
"C330002G04Rik",0,NA,NA,NA,NA,NA
"Aqp11",15.1572866249943,1.3653916195068,0.400596668417074,3.40839484487487,0.000653462654104212,0.00263979619392773
"Aqp12",0,NA,NA,NA,NA,NA
"1810010H24Rik",16.1412645803172,0.560210921780658,0.434421911646728,1.28955493901565,0.197205229636007,0.335438190542151
"LOC115490435",76.8243442554539,0.347579535645341,0.238157021462725,1.45945533543609,0.144439825297289,0.263814603811113
"Tubal3",0.433960361735603,2.37187270894412,5.64449758327803,0.420209712901793,0.674332259854349,NA
"Dag1",1052.51772974479,0.708464145914409,0.0923411077960784,7.67225088396109,1.69003975051644e-14,3.86517448417824e-13
"Myadm",38.4768723849523,-0.329429166123852,0.392941886367784,-0.838366123726281,0.401825109252137,0.562165547293955
"LOC115490439",0.40696097124579,-0.0601229895477524,4.83002127954028,-0.0124477690817699,0.990068373713088,NA
"Gm41951",0,NA,NA,NA,NA,NA
