"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Plekhg2",2893.61216470802,-0.388676564673057,0.0806933849293274,-4.81670913933609,1.45945186875891e-06,3.84055967671765e-06
"Plekhg3",69.1082221920218,-1.81310645303368,0.273137277688052,-6.63807763034242,3.17800489703327e-11,1.08322373678782e-10
"Plekhg1",14.333280112379,2.47082625818248,0.579483433404869,4.26384278781648,2.00940848787964e-05,4.86399839683121e-05
"Plekhg6",7.58702572136412,-1.05766002860673,0.616266699131756,-1.71623751550561,0.0861185794317768,0.13109913028369
"4930592I03Rik",0.725432518265044,3.22024578884146,2.93142539261341,1.09852558313639,0.27197505273761,NA
"Plekhg4",18.7258833821506,2.11955361596136,0.517774617799642,4.0935834687469,4.24757070264454e-05,0.000100271546605925
"Plekhg5",71.2258942014528,-0.0922687294745308,0.208178841123848,-0.443218575799637,0.65760764405826,0.731370821787116
"Nsa2",10597.5397616876,-0.0888393673259542,0.0868472895349824,-1.02293770826514,0.306337299079944,0.394847177089597
"Nampt",4763.47674036151,1.25336826823797,0.0653095016620703,19.1912085736506,4.38326445142966e-82,7.94618722083944e-81
"Gm41952",0.0902334285630597,0,6.00631008342227,0,1,NA
"Gm41953",0.436789957265014,2.48219381953645,5.94800840393736,0.41731511641667,0.676447933134125,NA
"Gm41950",0,NA,NA,NA,NA,NA
"Vmo1",0.17050175901662,0,6.00631008342227,0,1,NA
"Gm41956",0,NA,NA,NA,NA,NA
"Man2a1",1279.89074142927,-1.92274155860301,0.124427005151491,-15.4527673173685,7.22727334943977e-54,7.95270583972352e-53
"F930015N05Rik",0.778287876823641,-3.99763653629325,4.01157861995675,-0.996524539343652,0.3189953500456,NA
"Gm41955",0,NA,NA,NA,NA,NA
"Gm41958",37.9798371771045,1.44949134462851,0.372926251134524,3.88680426818664,0.00010157258912431,0.000232077577663693
"Mier1",4244.95359769576,-0.771180916687763,0.0804296933381626,-9.5882613084868,8.9581830719344e-22,4.53800664003018e-21
"Mier2",1675.19370236019,0.626134892494474,0.0518225691517563,12.0822819621488,1.31031986668773e-33,9.24509285140198e-33
"Mier3",953.965501064988,-0.611588378082888,0.0772602160516365,-7.91595479973984,2.45362751455822e-15,1.00137750414837e-14
"C330002G04Rik",0,NA,NA,NA,NA,NA
"Aqp11",15.1572866249943,-1.5135630218273,0.435685684005373,-3.47397924098105,0.000512800705649704,0.00109216271998975
"Aqp12",0,NA,NA,NA,NA,NA
"1810010H24Rik",16.1412645803172,-0.617419270625912,0.476487452670988,-1.29577235909344,0.195053923601746,0.268646533802701
"LOC115490435",76.8243442554539,-0.735313348469497,0.225369984253558,-3.26269423545868,0.00110358518090907,0.00227594282778616
"Tubal3",0.433960361735603,-2.82558997036389,5.62659344435537,-0.50218484742283,0.615537500627497,NA
"Dag1",1052.51772974479,-1.36776894993443,0.0948743848963354,-14.4166304891349,4.06719424623836e-47,3.84259449969997e-46
"Myadm",38.4768723849523,-1.67571317490581,0.398037117257266,-4.20994199348181,2.55436262093443e-05,6.13596653556617e-05
"LOC115490439",0.40696097124579,1.87505555831747,4.87180930828343,0.384878684625311,0.700327298910831,NA
"Gm41951",0,NA,NA,NA,NA,NA
"Gm15008",3.01308020536327,-1.12087250915122,0.878773817599306,-1.27549602264357,0.202133731031955,0.277120851987616
"Sacs",3093.8587469261,0.556585286213941,0.138488997428443,4.01898559848792,5.84492429813704e-05,0.00013642797365997
"Gm31819",0,NA,NA,NA,NA,NA
"Zfp712",86.3631113064675,-0.400646926268142,0.20288035100365,-1.97479413006799,0.0482915154591403,0.0780120927908944
"Zfp710",443.093230383571,-1.54357861192385,0.0928374332449822,-16.6266834182135,4.46643091689368e-62,5.72137799150963e-61
"Zfp711",1.98190697549054,-0.966027497735863,2.20534889382612,-0.438038398568254,0.661358448312272,0.73437802687843
"Gm41954",0,NA,NA,NA,NA,NA
"Zfp715",860.114082708314,-0.63152254781101,0.0970594378241491,-6.50655476652558,7.68938775724787e-11,2.56735019212749e-10
"Mllt6",8463.34421315672,1.101171423843,0.0870376451032,12.6516683963283,1.09524000094926e-36,8.29494992560929e-36
"Zfp719",335.496172872716,-0.255699658406054,0.121866483596962,-2.09819509728127,0.0358879145404754,0.0595565833643283
"Mllt1",3721.02028447552,1.66923238497772,0.0844404699499937,19.7681560271544,5.59850838642535e-87,1.12988660672948e-85
"Mllt3",1474.16359564182,-1.65507766918685,0.0800542230322102,-20.674457967332,5.88237927170621e-95,1.35633056174674e-93
"LOC108167749",0.23966289195278,2.88570385052606,5.93383011569456,0.486313863771323,0.626744651188724,NA
"LOC108167740",0.120887439256484,-2.40030856815722,5.9486692207833,-0.403503452464811,0.686577895432222,NA
"Btg4",0.819134546609401,-4.13974765312788,3.56245468850589,-1.16204920907053,0.245215476854079,NA
"Btg3",2007.10086864102,0.145896179543031,0.0815884767305274,1.78819589958642,0.0737444076190201,0.114173405248126
"Btg2",5919.19558730918,-2.68903059164542,0.0930531814431208,-28.8977824287405,1.27303935308409e-183,9.39545654771979e-182
"Btg1",58299.5595514981,-0.643258631570502,0.0417036360651498,-15.4245215109205,1.1198202902993e-53,1.22610242710052e-52
"Smok3a",0,NA,NA,NA,NA,NA
"Smok3c",0,NA,NA,NA,NA,NA
"Duxf3",7.02506932726205,-7.34173823973733,1.70978713414324,-4.29394869871695,1.7552304875857e-05,4.26923753040874e-05
"Nupl1",2837.81995140319,0.436003693914803,0.0795924484374265,5.47795302788779,4.3027430986584e-08,1.24665055054592e-07
"Nupl2",501.038988976311,0.575333926305321,0.114556367591655,5.02227801387822,5.10621981948438e-07,1.38481874839922e-06
"Hoxd3os1",0,NA,NA,NA,NA,NA
