"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Plekhg2",2893.61216470802,-0.628137513431333,0.0804329237074105,-7.80945767576842,5.74345808328764e-15,1.33665933574694e-13
"Plekhg3",69.1082221920218,-0.762897387568621,0.282992053839285,-2.69582618034173,0.00702142956291966,0.0208190043008894
"Plekhg1",14.333280112379,1.11143347990389,0.476796556904655,2.33104342682186,0.019751069904206,0.0509821079069049
"Plekhg6",7.58702572136412,-0.0845221409294226,0.658891196613192,-0.128279359875925,0.897927898577832,0.944282134551065
"4930592I03Rik",0.725432518265044,0.445166703081331,2.78137019935919,0.160053021055556,0.872839307761753,NA
"Plekhg4",18.7258833821506,0.612858685328122,0.446336580426281,1.37308639310451,0.169725490607369,0.301569007281526
"Plekhg5",71.2258942014528,0.259324414513893,0.212908006258121,1.21801156786701,0.22321957685171,0.371471773238019
"Nsa2",10597.5397616876,0.216908700632708,0.0869107562048128,2.49576358674804,0.0125686336962708,0.0346155394806888
"Nampt",4763.47674036151,0.163503069426766,0.0642184423065132,2.54604539684051,0.0108951018444066,0.0305470864643035
"Gm41952",0.0902334285630597,0,6.00631008342227,0,1,NA
"Gm41953",0.436789957265014,2.53792748423647,5.94800840393736,0.426685255279137,0.669608591476297,NA
"Gm41950",0,NA,NA,NA,NA,NA
"Vmo1",0.17050175901662,-1.82797907571115,5.97392616476141,-0.30599291408955,0.759610040925797,NA
"Gm41956",0,NA,NA,NA,NA,NA
"Man2a1",1279.89074142927,-0.581671670569825,0.125841058919271,-4.62227253620758,3.79558900517863e-06,2.28455019682196e-05
"F930015N05Rik",0.778287876823641,-1.77811021354882,4.11054308510771,-0.432573063153341,0.665324962195193,NA
"Gm41955",0,NA,NA,NA,NA,NA
"Gm41958",37.9798371771045,0.0503642507426796,0.342618178510422,0.146998186032174,0.883133452103979,0.935610182312372
"Mier1",4244.95359769576,-0.413965328164781,0.0806009470797578,-5.13598590541556,2.80668694458015e-07,2.06048728882406e-06
"Mier2",1675.19370236019,0.286411629213922,0.0505416006155503,5.66684920393677,1.45447238542429e-08,1.30647344094252e-07
"Mier3",953.965501064988,-0.160490406003338,0.0783846048024674,-2.04747356203148,0.0406116101081043,0.0940591676106568
"C330002G04Rik",0,NA,NA,NA,NA,NA
"Aqp11",15.1572866249943,-0.39486471662539,0.469982061064907,-0.84016976250261,0.40081320957382,0.56609835375523
"Aqp12",0,NA,NA,NA,NA,NA
"1810010H24Rik",16.1412645803172,-0.664356508688172,0.473756634076926,-1.40231600130015,0.160820904226107,0.289568847632078
"LOC115490435",76.8243442554539,0.437549485593269,0.238317669330837,1.83599263462859,0.0663587459760527,0.141072330047135
"Tubal3",0.433960361735603,0,5.7031542826744,0,1,NA
"Dag1",1052.51772974479,-0.665345728296464,0.0961240207573735,-6.92174258893999,4.461213547012e-12,6.96247604898470e-11
"Myadm",38.4768723849523,-0.846272330396177,0.406300828512464,-2.082871288977,0.0372629572937017,0.0874778373266726
"LOC115490439",0.40696097124579,0.0161282807020434,4.83195529628679,0.00333783731700446,0.997336796083487,NA
"Gm41951",0,NA,NA,NA,NA,NA
"Gm15008",3.01308020536327,0.931856200643968,1.04076641532044,0.895355756033942,0.370596943891636,0.535355078882384
"Sacs",3093.8587469261,0.377107478042947,0.138344695846089,2.72585425654834,0.0064135310817124,0.0192237527911544
"Gm31819",0,NA,NA,NA,NA,NA
"Zfp712",86.3631113064675,-0.479701478063046,0.201336792829018,-2.38258229567819,0.0171916888949441,0.045161616375464
"Zfp710",443.093230383571,-0.646938036487718,0.0962227157449236,-6.723340029216,1.77605457153311e-11,2.53731216556018e-10
"Zfp711",1.98190697549054,0.128731335955076,2.26656291741203,0.056795836094443,0.954707830901111,NA
"Gm41954",0,NA,NA,NA,NA,NA
"Zfp715",860.114082708314,-0.0405675603096975,0.098510762278444,-0.411808409268339,0.680479857226084,0.7990364943325
"Mllt6",8463.34421315672,0.457696054705284,0.0867736161547146,5.27459929627949,1.33046466356499e-07,1.03033312415618e-06
"Zfp719",335.496172872716,-0.448553999501279,0.120300898637319,-3.72860057224984,0.000192546063456223,0.000834086004142243
"Mllt1",3721.02028447552,0.239817266265903,0.082681638664661,2.90049000163809,0.0037257972424823,0.0119273605955384
"Mllt3",1474.16359564182,-0.392534614963702,0.0818039140718266,-4.79848207041833,1.59872616294356e-06,1.02899357900406e-05
"LOC108167749",0.23966289195278,2.94143751522608,5.93383011569456,0.495706391635005,0.620101576910525,NA
"LOC108167740",0.120887439256484,0,6.00631008342226,0,1,NA
"Btg4",0.819134546609401,0,3.72417279866909,0,1,NA
"Btg3",2007.10086864102,0.103320614629182,0.0814335357938931,1.26877230150837,0.204522286772329,0.348115574868675
"Btg2",5919.19558730918,-1.8436647590605,0.0933311592416094,-19.7540111367067,7.40926126816686e-87,2.35199589696689e-83
"Btg1",58299.5595514981,-0.108697328520329,0.0417439694038263,-2.60390494897129,0.00921683140986462,0.0264060556204641
"Smok3a",0,NA,NA,NA,NA,NA
"Smok3c",0,NA,NA,NA,NA,NA
"Duxf3",7.02506932726205,-1.79534689650989,1.98054439291562,-0.906491620653303,0.364675698040408,0.529660750301734
"Nupl1",2837.81995140319,0.296453864493967,0.079354706571587,3.73580695212491,0.000187114178727805,0.000813441863809292
"Nupl2",501.038988976311,0.623247629860281,0.114516880997859,5.44240835437993,5.2565005366424e-08,4.34990492792431e-07
"Hoxd3os1",0,NA,NA,NA,NA,NA
"Ttc30a2",8.78686031084105,0.232593220998549,0.546330370615842,0.425737307512965,0.670299273804402,0.791427604366863
"Npat",2174.23280945453,0.0753386610664926,0.0719184915278019,1.04755619126645,0.294843130378744,0.456783813115805
"Ttc30a1",93.3539516144838,0.469813285026923,0.183709975477282,2.55736403973893,0.010546877813272,0.0296913878418328
"Gga1",2553.8290513522,-0.0607997349869845,0.0645236004470524,-0.942286768961016,0.346045840302496,0.509786483876111
"Gga3",2317.30603345314,0.0667401029340445,0.0686121091397151,0.972716095902858,0.330694423250203,0.494106342931841
