"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Plekhg2",2893.61216470802,-2.72220960007144,0.0885420633749958,-30.7448177319096,1.43424362172549e-207,4.82798153504119e-206
"Plekhg3",69.1082221920218,-1.9618766123289,0.279597398518321,-7.0167913676076,2.27021205001982e-12,6.5528179267386e-12
"Plekhg1",14.333280112379,2.24144275551664,0.58629009278783,3.82309505667834,0.000131786944273499,0.000259759739640212
"Plekhg6",7.58702572136412,-1.2687657620393,0.640309724659413,-1.98148757261834,0.0475366216617184,0.0708430609573379
"4930592I03Rik",0.725432518265044,1.96894285937317,3.03781625878077,0.648144157396607,0.516891715981168,NA
"Plekhg4",18.7258833821506,2.9527081810122,0.508155787601843,5.81063574016743,6.22360467387423e-09,1.56893186855034e-08
"Plekhg5",71.2258942014528,0.147771248215666,0.205902923128567,0.717674358238213,0.472958097265107,0.545797047933217
"Nsa2",10597.5397616876,0.122022433015333,0.0868180718892534,1.40549577248141,0.159873905541294,0.213605197685418
"Nampt",4763.47674036151,1.55716136119756,0.065192743856018,23.8855011937624,4.33330233476424e-126,6.94233604749377e-125
"Gm41952",0.0902334285630597,2.00901183003757,5.97567354955933,0.336198390587404,0.73672126647315,NA
"Gm41953",0.436789957265014,1.08448150356902,6.00631008342227,0.18055702894232,0.856715287349467,NA
"Gm41950",0,NA,NA,NA,NA,NA
"Vmo1",0.17050175901662,1.98997319069162,5.97680759385583,0.332949180552058,0.739172644554141,NA
"Gm41956",0,NA,NA,NA,NA,NA
"Man2a1",1279.89074142927,-2.83910185382011,0.128237590351104,-22.1393886616777,1.32014996654212e-108,1.73906835398331e-107
"F930015N05Rik",0.778287876823641,-3.90771577075308,4.01157861995675,-0.974109232538289,0.330002305851993,NA
"Gm41955",0,NA,NA,NA,NA,NA
"Gm41958",37.9798371771045,1.03774029619558,0.379992428184033,2.73094993275233,0.00631520647874834,0.0106424587013317
"Mier1",4244.95359769576,-1.18019017037343,0.0809591028752699,-14.5776092923324,3.89934430353794e-48,2.43212638508153e-47
"Mier2",1675.19370236019,0.879083321417762,0.0514475573565058,17.0869787913575,1.8554080754834e-65,1.46301041767777e-64
"Mier3",953.965501064988,-0.440516220629094,0.0769532409508293,-5.72446611976447,1.03759510981188e-08,2.58724061944751e-08
"C330002G04Rik",0,NA,NA,NA,NA,NA
"Aqp11",15.1572866249943,-2.60671537386559,0.543734761905156,-4.79409365833462,1.63411922000154e-06,3.64172191049997e-06
"Aqp12",0,NA,NA,NA,NA,NA
"1810010H24Rik",16.1412645803172,-0.9012250848685,0.494572837519076,-1.82222923804169,0.0684202099543808,0.0990857211318
"LOC115490435",76.8243442554539,-1.60831479093251,0.243086999447792,-6.61621063481813,3.68523176405137e-11,1.0214299667835e-10
"Tubal3",0.433960361735603,-2.73566989168328,5.62659344435537,-0.486203582813988,0.626822831367028,NA
"Dag1",1052.51772974479,-1.77825527290123,0.0972767614370831,-18.2803708370923,1.18616842099122e-74,1.05192683649392e-73
"Myadm",38.4768723849523,-1.14745582308858,0.387840439611076,-2.9585770484358,0.00309062969256636,0.0054029352970444
"LOC115490439",0.40696097124579,1.98968484793812,4.8699914320674,0.408560235822317,0.682862417165,NA
"Gm41951",0,NA,NA,NA,NA,NA
"Gm15008",3.01308020536327,-1.62169014979112,0.943007188907856,-1.7197007285483,0.0854868553416035,0.121556037192305
"Sacs",3093.8587469261,0.887271359160952,0.13838630133857,6.41155483294687,1.44042931692006e-10,3.90048092127003e-10
"Gm31819",0,NA,NA,NA,NA,NA
"Zfp712",86.3631113064675,-0.871461904332997,0.213668694711368,-4.07856614423654,4.53143106525748e-05,9.21701021218597e-05
"Zfp710",443.093230383571,-2.89910815852198,0.113024952779584,-25.6501603161534,4.21066672961762e-145,8.23414084741965e-144
"Zfp711",1.98190697549054,1.03041192648548,2.11743187154773,0.48663285951784,0.626518532903745,0.689490916015046
"Gm41954",0,NA,NA,NA,NA,NA
"Zfp715",860.114082708314,-0.154778586503283,0.095840044842554,-1.61496780137732,0.106317667873779,0.148107514107218
"Mllt6",8463.34421315672,1.09207362549002,0.0870609727160324,12.5437792781394,4.29989404506502e-36,2.19906729663386e-35
"Zfp719",335.496172872716,0.436498982440571,0.117695058890299,3.70872818753947,0.000208302889655705,0.000404475415085532
"Mllt1",3721.02028447552,2.07628564670298,0.0842684986037592,24.6389300996797,4.83656450088194e-134,8.51418774761043e-133
"Mllt3",1474.16359564182,-3.54346942533491,0.091967971132898,-38.5293856294213,0,0
"LOC108167749",0.23966289195278,0,6.00631008342227,0,1,NA
"LOC108167740",0.120887439256484,-2.31038864908347,5.9486692207833,-0.388387480179851,0.69772930786265,NA
"Btg4",0.819134546609401,-2.22613626961814,3.5169859828705,-0.632967057719465,0.526755155428621,NA
"Btg3",2007.10086864102,0.640560536404096,0.0810526420799358,7.90301858108909,2.7222898722193e-15,8.63486262472149e-15
"Btg2",5919.19558730918,-2.49614089468245,0.0928799125488979,-26.8749272709352,4.31374727799446e-159,9.73020309930234e-158
"Btg1",58299.5595514981,-0.811763217660799,0.0417357384917821,-19.4500743726061,2.91008675344317e-84,2.92317882938406e-83
"Smok3a",0,NA,NA,NA,NA,NA
"Smok3c",0,NA,NA,NA,NA,NA
"Duxf3",7.02506932726205,-4.0851459537298,1.39852076114027,-2.92104777221829,0.00348856330087298,0.00605597559926173
"Nupl1",2837.81995140319,0.708787294541905,0.0794232022472171,8.9241842998938,4.48995710538352e-19,1.57483303602823e-18
"Nupl2",501.038988976311,0.851490720820072,0.113920923618456,7.4744014863493,7.75560207326019e-14,2.34891938479115e-13
"Hoxd3os1",0,NA,NA,NA,NA,NA
"Ttc30a2",8.78686031084105,0.976633967573923,0.557500929124067,1.7518068877632,0.0798070194578537,0.114123714326476
"Npat",2174.23280945453,-0.789570197543028,0.0709453434407109,-11.1292744421327,9.03680605235403e-29,4.00603724447029e-28
"Ttc30a1",93.3539516144838,1.68993671849748,0.192105630469063,8.79691404344145,1.40629946763833e-18,4.87342167184135e-18
"Gga1",2553.8290513522,-0.0725511055562053,0.0646676072116554,-1.12190799512262,0.261901560920427,0.329812353328723
"Gga3",2317.30603345314,1.16016053629387,0.070210039224908,16.5241402668565,2.45921391968771e-61,1.84195644710707e-60
"Gga2",410.265845164417,1.33827338524119,0.104238572598697,12.8385620781027,9.97092374567785e-38,5.25319964008398e-37
"Sorbs1",220.247274296746,-2.88385227739951,0.178895939764962,-16.1202779738231,1.83780742497806e-58,1.33184409076368e-57
"Sorbs3",24.8187615301648,-2.90686928880567,0.45049798256356,-6.45256893774335,1.09969830553639e-10,2.99160678768606e-10
"Sorbs2",0.278162255621772,-2.31038864904842,5.94866922074677,-0.388387480176345,0.697729307865244,NA
"Tshz2",1.02368752578545,0.154728042560389,3.16591151807649,0.0488731418035324,0.96102039301193,0.972153392919507
"Tshz3",6.23647303205783,-0.257723828896039,0.691484516362717,-0.372710918028497,0.709363609639542,0.764119982316451
"Tshz1",1716.89895317668,-3.73258759598045,0.110106538121983,-33.8997816082933,6.7112060596851e-252,3.38225610533673e-250
"Bbof1",65.6887199003024,-1.98410779196211,0.286698546300246,-6.92053663182597,4.49935948927507e-12,1.28629176712031e-11
"Speer4d",0,NA,NA,NA,NA,NA
"Speer4e",0,NA,NA,NA,NA,NA
"Speer4a",0,NA,NA,NA,NA,NA
"Speer4b",0,NA,NA,NA,NA,NA
"Speer4c",0,NA,NA,NA,NA,NA
"Arhgef28",0,NA,NA,NA,NA,NA
"Malrd1",0,NA,NA,NA,NA,NA
"Arhgef25",6.83860017633841,0.480796634726994,0.795085632839091,0.604710505219628,0.545371366770502,0.614762623879402
"Arhgef26",15.5395717306998,0.597104629485802,0.506592073734286,1.17866950638274,0.238529802589227,0.303697646013525
"1700024I08Rik",0,NA,NA,NA,NA,NA
"5033406O09Rik",0.955073648742792,-0.687694379542219,3.69000737809383,-0.186366667889284,0.852157229653123,0.884864977562338
"Gm36215",8.85690556965391,6.84466087686693,1.30324789266742,5.25200225941483,1.5045461646601e-07,3.54416263333862e-07
"Lmna",540.520545781611,-0.651800095356999,0.337536379086549,-1.93105139398876,0.0534766970492031,0.0788296389144989
"Fndc3c1",0.0778931181667195,0,6.00631008342227,0,1,NA
"Gm17330",0.0818444969588767,-0.839077186109554,6.00631008342226,-0.139699278667855,0.888897596357834,NA
"Zdbf2",6.46558220070155,-4.19264481204536,1.22365613940359,-3.42632597266162,0.00061180566834339,0.00114731449967138
"Sorcs1",0,NA,NA,NA,NA,NA
"Sorcs2",240.64765463863,-6.01463492439528,0.35144774929475,-17.113880901115,1.16941592479009e-65,9.24163418341055e-65
"Sorcs3",0,NA,NA,NA,NA,NA
"Gm35439",0,NA,NA,NA,NA,NA
"Trim34a",498.048168337852,-1.3055058945724,0.18336247961202,-7.11980933795588,1.080764632439e-12,3.1504887376618e-12
"Trim34b",29.5871122199678,-1.4103676396248,0.478012569827367,-2.950482327555,0.003172781947734,0.00553941411225181
"Prepl",352.236394878243,-0.384280428985186,0.11002074439815,-3.49279975414933,0.000477984796292842,0.000905215140842756
"A530032D15Rik",12.2685351323444,-0.436295414056661,0.538666427603712,-0.8099547172404,0.417966201933857,0.491500389060754
"4933412E24Rik",0.809742642747409,-3.74270647250859,3.21591642185855,-1.16380713350305,0.244502180613111,NA
"Cdhr1",3.60009729238888,-0.89163873824437,1.58840116203457,-0.561343544411838,0.574563362310564,0.641722481339583
"Cdhr2",0.242256161238475,0,6.00631008342227,0,1,NA
"Cdhr3",0,NA,NA,NA,NA,NA
"Cdhr4",18.0065643405072,-4.27188466495738,0.761692344404414,-5.60841223669862,2.04191197590063e-08,5.01703375719616e-08
"Cdhr5",1.15860465943448,-3.73519010004949,2.75959360184965,-1.35352904773585,0.175886676649816,0.232673248044556
"Gm36639",0,NA,NA,NA,NA,NA
"Gm36631",41.172783357161,-1.99823589685684,0.405996119229685,-4.92181033810909,8.57472939254107e-07,1.93959543158543e-06
"Gm12863",0,NA,NA,NA,NA,NA
"Gm36633",0,NA,NA,NA,NA,NA
"Gm36635",10.9706142370234,2.01540606975281,0.600604022620939,3.35563198687532,0.000791838617745869,0.00146961714840271
"Gm36634",5.52122284503523,1.96449174123463,0.918614430571114,2.13853786295658,0.0324731145220059,0.0497000665556322
"Gm12865",0,NA,NA,NA,NA,NA
"Tcof1",11177.7851892586,1.87646930971831,0.075682448188481,24.7939826820231,1.04100485820188e-135,1.86798420079582e-134
"Gm3279",0,NA,NA,NA,NA,NA
"Gm40426",0.149947480246812,0,6.00631008342227,0,1,NA
"Olfr523",0.0805916261709894,-1.72562381214024,5.97793562927866,-0.288665505812492,0.77283736181805,NA
"Olfr522",0.0408760504126019,0,6.00631008342226,0,1,NA
"Olfr521",0.0859074024144097,1.9423151564272,5.97971187400897,0.324817515852151,0.745319187029372,NA
"Olfr520",0.0834212660287205,0,6.00631008342226,0,1,NA
"Olfr527",0.121954099079076,0,6.00631008342227,0,1,NA
"Olfr525",0.546152604540333,0.714618492202126,3.00003626560822,0.238203284538377,0.811723429740771,NA
"Olfr524",2.27036494454203,-5.05630797849789,1.64490732664041,-3.07391662533658,0.00211268466551933,0.0037630662238812
"Gm10644",11.9484982796184,-0.71534459297984,0.540315349160815,-1.32393905538843,0.185523286041142,0.243757559961244
"Gm10646",0,NA,NA,NA,NA,NA
"Gm10640",13.526539044325,-0.789170018654382,0.626155076836558,-1.26034276147916,0.207545740368408,0.268729304437961
"Gm10648",0,NA,NA,NA,NA,NA
"Gm10649",0,NA,NA,NA,NA,NA
"Gm11820",0,NA,NA,NA,NA,NA
"Zik1",65.6522515005433,0.0122034938288354,0.220850469685604,0.0552568162803001,0.955933865188284,0.968159539782611
"8430426J06Rik",0,NA,NA,NA,NA,NA
"Usp8",2564.14142734335,-0.115330056096486,0.0823000518638602,-1.4013363720264,0.161113509515354,0.215147338507179
"Usp1",4746.76503225148,1.24299594113456,0.0715220369252062,17.3792021951838,1.18591817178743e-67,9.56926378415304e-67
"Usp2",646.033117508173,-0.651808984476564,0.138857968484941,-4.69406971445973,2.67822694495966e-06,5.89778340601042e-06
"Usp3",3608.07009122377,-2.00692871707306,0.0453594836039703,-44.2449639549553,0,0
"Usp4",4963.71048380018,0.498858984431377,0.0419189621373006,11.9005566692568,1.17560328118848e-32,5.6303193800933e-32
"Usp5",2006.31568605303,0.750521082814113,0.0667405699158788,11.2453502234111,2.44125823395205e-29,1.09320522946637e-28
"Usp7",10121.7097968366,0.190462077651124,0.049984613093348,3.81041416276304,0.000138734176913475,0.000272995554058097
"Rpl38",18006.6707654964,0.0680187931851381,0.171582209392429,0.396421012562968,0.691794467348732,0.748899141375002
"Rpl39",7277.8592407036,-0.516266446049019,0.149999280255531,-3.44179282173577,0.000577872651335853,0.00108598931354284
"Rpl36",10256.4217785564,0.480099291313565,0.171144656439546,2.80522513119275,0.00502814464836995,0.00858498145896792
"Rpl37",15239.2317820879,-0.0841341861747791,0.118073430456727,-0.712558158506401,0.476119210978763,0.548870450457774
"Rpl34",21252.6980507808,0.196963803173817,0.13509169382844,1.4580008407027,0.144840311287976,0.195608165592881
"Rpl35",37463.4246642948,0.243730735549396,0.125555046910565,1.94122611194602,0.0522308572002418,0.0771866697515973
"Rpl32",25757.3105405383,-0.265510958606896,0.121389364986615,-2.18726705289358,0.0287230344373773,0.044260120943557
"Rpl30",17652.1319749024,-0.00157615803992975,0.221452016199277,-0.00711737949819082,0.994321200730301,0.997998842590291
"Rpl31",33166.6444068858,-0.0243138086699402,0.142241495902033,-0.170933302660751,0.864276210275702,0.89499541075278
"Vmn1r56",0,NA,NA,NA,NA,NA
"Cd302",24.7031420523701,-1.2828177930054,0.34583282132185,-3.7093581462343,0.000207785333628795,0.000403514862917353
"Fam13b",3693.48019672632,-0.952307448266814,0.0917104102261762,-10.383853326119,2.93677032122293e-25,1.21003718047305e-24
"Fam13c",0.0889779235635528,1.98997319070316,5.97680759389252,0.332949180551945,0.739172644554227,NA
"Fam13a",1.39716666429418,-1.44792593232944,2.36996474451059,-0.61094830025771,0.54123380738198,0.610527794871826
"Bcas2",1831.04816094727,0.378936185848643,0.0674061790835147,5.62168321956286,1.89105792397928e-08,4.65610981589483e-08
"Bcas3",943.234613407719,-2.55709395267092,0.0939403361868761,-27.2204045297867,3.72495760234189e-163,8.64533251943533e-162
"Bcas1",0.75181862751252,-3.54568483871115,4.25474998765015,-0.833347399730388,0.404648831005022,NA
"Gm51930",0,NA,NA,NA,NA,NA
"Gm8369",770.311349778353,0.60849007960042,0.0924768268137539,6.57991953839317,4.70702922545311e-11,1.29953495864404e-10
"Gm51932",19.7253675424355,-0.0383864955748358,0.516548426954942,-0.0743134497594439,0.940760975263451,0.957093254278003
"Gm51935",0.165617862494636,-1.35137157391575,5.9485569347977,-0.227176370458948,0.820286601004782,NA
"Gm51934",1.30219798565818,-2.31898135418302,2.48568234855844,-0.932935519909817,0.350853261470097,0.424290462023244
"Gm51937",16.7473592661206,-1.37419287566249,0.523397602387056,-2.62552382623692,0.00865157536713245,0.0143250856942504
"Gm51939",0,NA,NA,NA,NA,NA
"Gm51938",0.497832831010554,0,6.00631008342227,0,1,NA
"Krtap28-13",0,NA,NA,NA,NA,NA
"Macir",1167.62755914153,1.00436446719614,0.110532852333486,9.08656970296851,1.02212973766684e-19,3.66599154996044e-19
"Mlycd",276.071128424567,-1.15480915765636,0.138303355193572,-8.34982749362852,6.83627387214195e-17,2.26791489243393e-16
"Rpl3l",0.963675686969087,-0.782428527311956,3.38868327509451,-0.2308945580906,0.817396718535119,0.856230222592847
"Ttbk2",239.621460425134,-1.84619936436681,0.242582323210717,-7.61060962699711,2.7280605699989e-14,8.37019662449307e-14
"Gm10046",0.330696137557513,0,6.00631008342227,0,1,NA
"Ttbk1",5.49682935183734,0.113640980318788,0.944462581882171,0.120323433134131,0.904226942006726,0.928277210456096
"Ncor2",6378.94748130292,-0.162572203304429,0.0913422838044898,-1.77981320953613,0.0751065350758367,0.107922415753898
"Ncor1",13808.4972354021,-0.668380330661699,0.0938342247767703,-7.12299091564685,1.05609783635662e-12,3.08062009847765e-12
"Abhd17a",1005.06492608421,0.224478116707624,0.085741344786741,2.61808486052971,0.00884248119980257,0.0146288244122414
"Gkn1",0,NA,NA,NA,NA,NA
"Gkn2",0,NA,NA,NA,NA,NA
"Gkn3",0,NA,NA,NA,NA,NA
"Magohb",348.246824401047,2.50769609643474,0.125959136260589,19.9088067041578,3.41348997420161e-88,3.59037266875028e-87
"Ankrd50",4029.60666328544,-3.11304604560968,0.159182296212448,-19.5564841045825,3.63279230216726e-85,3.67635246230226e-84
"Ppme1",3427.92514997755,1.45342969850664,0.0543527653232026,26.7406762078063,1.58503540038551e-157,3.52565440446407e-156
"Iqca1l",0.825738833468324,2.59234164948363,3.58700597039161,0.722703466590721,0.469862085338975,NA
"Gm6358",0,NA,NA,NA,NA,NA
"Gm6351",0.167023472413061,-2.31590859751688,5.94844504758421,-0.389330081893825,0.697031986149265,NA
"Gm19276",0,NA,NA,NA,NA,NA
"Cep164",598.627917516752,-4.46172705197626,0.15386697457037,-28.9973014965322,7.115782970218e-185,1.99230628272501e-183
"Gm19272",0,NA,NA,NA,NA,NA
"Cep162",384.006108875491,-1.6667003933668,0.183665907243217,-9.07463131499793,1.14063002532747e-19,4.08353420270981e-19
"Gm14015",0,NA,NA,NA,NA,NA
"Gm14010",1.92782739538853,3.72503764597406,2.16334988912069,1.7218840395199,0.0850905267593784,0.12106080025074
"Fam234b",448.169923855588,-1.14848717858871,0.134746671554478,-8.52330647829305,1.55061764324904e-17,5.23270415329438e-17
"Lrriq1",0,NA,NA,NA,NA,NA
"Fam234a",757.307091707484,-1.68629800426053,0.112931494714124,-14.9320436121849,2.03919437664033e-50,1.31131424023182e-49
"Lrriq4",0.0902334285630597,2.00901183003757,5.97567354955933,0.336198390587404,0.73672126647315,NA
