"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Plekhg2",2893.61216470802,0.239460948758276,0.0799522267134842,2.99505040199074,0.00274399495765446,0.00605546441362029
"Plekhg3",69.1082221920218,-1.05020906546506,0.256436293966992,-4.09539948194791,4.21441052766099e-05,0.000117178416294786
"Plekhg1",14.333280112379,1.35939277827859,0.60733049246527,2.23830812900659,0.0252009683762268,0.0468384238364225
"Plekhg6",7.58702572136412,-0.973137887677307,0.60420020183475,-1.61062158655727,0.107262225912358,0.169792551634934
"4930592I03Rik",0.725432518265044,2.77507908576013,2.95119390666595,0.940324212344018,0.347051283699624,NA
"Plekhg4",18.7258833821506,1.50669493063324,0.528053295294596,2.85330087712579,0.00432676342727367,0.00924639933289074
"Plekhg5",71.2258942014528,-0.351593143988424,0.211039711525292,-1.6660046654124,0.0957124852030745,0.154053520074554
"Nsa2",10597.5397616876,-0.305748067958662,0.0868813386953237,-3.51914545229169,0.000432939277070675,0.00106833319127287
"Nampt",4763.47674036151,1.08986519881121,0.0653550651523716,16.6760632289211,1.95698197451697e-62,4.90329617166263e-61
"Gm41952",0.0902334285630597,0,6.00631008342227,0,1,NA
"Gm41953",0.436789957265014,0,6.00631008342227,0,1,NA
"Gm41950",0,NA,NA,NA,NA,NA
"Vmo1",0.17050175901662,1.86076131536713,5.97392616476142,0.311480467626678,0.755435389455524,NA
"Gm41956",0,NA,NA,NA,NA,NA
"Man2a1",1279.89074142927,-1.34106988803319,0.122994813642446,-10.903466970012,1.10947604145377e-27,1.01927332787515e-26
"F930015N05Rik",0.778287876823641,-2.21952632274442,3.96734696333268,-0.559448503813228,0.575855666676759,NA
"Gm41955",0,NA,NA,NA,NA,NA
"Gm41958",37.9798371771045,1.39912709388583,0.372482808959912,3.75621924080906,0.000172499590616108,0.000448183402326978
"Mier1",4244.95359769576,-0.357215588522982,0.0800512747500342,-4.46233479277393,8.10714284901217e-06,2.41598061689011e-05
"Mier2",1675.19370236019,0.339723263280553,0.0523351862386724,6.49129749402742,8.51002441215359e-11,3.67822397956327e-10
"Mier3",953.965501064988,-0.45109797207955,0.0763669387762902,-5.90697989611709,3.48436253474068e-09,1.35555074438224e-08
"C330002G04Rik",0,NA,NA,NA,NA,NA
"Aqp11",15.1572866249943,-1.11869830520191,0.407552462131337,-2.74491852987848,0.00605259214069468,0.0126509862270072
"Aqp12",0,NA,NA,NA,NA,NA
"1810010H24Rik",16.1412645803172,0.0469372380622602,0.450439415949064,0.104203221122123,0.91700807780497,0.943154838740634
"LOC115490435",76.8243442554539,-1.17286283406277,0.230620797401717,-5.08567677883692,3.66317445824884e-07,1.22771678261545e-06
"Tubal3",0.433960361735603,-2.91410603183464,5.62659344435537,-0.517916579659419,0.604516473699882,NA
