gene_id	KO1CT	KO1G	KO1NH	KO1NL	KO2CT	KO2G	KO2NH	KO2NL	KO3CT	KO3G	KO3NH	KO3NL	WT1CT	WT1G	WT1NH	WT1NL	WT2CT	WT2G	WT2NH	WT2NL	WT3CT	WT3G	WT3NH	WT3NL
Plekhg2	4392	4886	885	4616	3967	4579	925	5021	4551	4451	725	4739	2818	2227	438	3818	3098	2380	443	3455	3247	2234	393	3979
Plekhg3	88	74	33	121	118	64	41	122	94	51	22	121	136	24	20	81	101	47	32	48	140	34	37	61
Plekhg1	4	14	25	10	5	16	26	21	3	27	21	12	2	19	26	7	5	22	14	9	5	24	12	16
Plekhg6	19	9	3	1	20	8	5	10	17	5	2	6	15	4	4	7	10	8	3	7	9	4	6	4
4930592I03Rik	0	0	0	1	0	4	0	0	2	0	0	0	0	3	1	2	0	0	0	0	0	2	1	2
Plekhg4	11	5	46	5	4	3	26	5	7	5	14	3	3	24	54	19	10	36	45	20	7	25	43	20
Plekhg5	80	66	58	68	66	66	73	74	70	70	81	64	70	98	88	69	86	56	79	60	82	64	75	65
Nsa2	9221	9518	11581	9277	9410	10199	11223	10303	9397	10781	11349	10039	13661	10677	12902	9646	12165	11095	11016	9533	9963	11150	11885	10946
Nampt	1957	3700	7213	3526	1988	3491	6563	3758	2060	3225	6645	3732	2706	5858	7439	6193	2643	6577	6692	6091	2719	6372	7693	5554
Gm41952	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0
Gm41953	0	0	4	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	3	0	0
Gm41950	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Vmo1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	2	0	0	0	0
Gm41956	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Man2a1	2901	1029	326	1308	2559	1011	303	1253	3097	952	341	1282	2367	752	276	1284	2824	725	390	1182	3275	704	421	1004
F930015N05Rik	0	0	0	0	5	0	0	0	3	0	0	0	3	0	0	1	6	0	0	1	0	0	0	0
Gm41955	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm41958	41	29	38	42	27	34	28	33	50	38	24	36	13	53	26	70	25	75	45	61	23	35	44	36
Mier1	5077	4907	2361	5879	5835	5137	2426	6129	5317	4207	2062	6366	5438	3256	2265	4840	5896	3481	2251	4353	6253	3335	2618	5090
Mier2	1445	1676	2156	1245	1388	1635	2095	1314	1331	1540	2275	1324	1223	1976	2179	1718	1252	1877	2128	1635	1329	1885	2117	1651
Mier3	1131	873	889	899	1227	912	931	960	1075	876	860	1059	1113	838	843	1001	1258	780	850	943	1384	783	847	910
C330002G04Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Aqp11	9	33	9	28	14	18	9	32	15	29	7	31	20	6	4	13	27	11	4	9	26	8	3	13
Aqp12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1810010H24Rik	13	17	17	28	11	16	12	30	21	18	9	30	19	21	16	17	15	8	6	20	21	6	5	22
LOC115490435	87	111	24	71	89	100	28	67	118	108	37	103	177	72	47	63	118	74	41	59	110	92	34	65
Tubal3	0	2	0	0	0	0	0	0	2	0	0	3	2	0	0	0	0	0	0	0	2	0	0	0
Dag1	1714	1102	356	1658	2028	1015	378	1784	1613	946	407	1765	1595	630	382	1028	1678	635	503	1026	1664	605	436	1099
Myadm	66	20	32	43	42	32	22	30	52	31	26	31	103	30	32	74	73	20	35	31	46	18	25	26
LOC115490439	0	0	0	1	0	2	0	0	0	0	0	1	0	0	2	0	0	2	0	2	0	0	0	0
Gm41951	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
