"","x"
"1","Klra8"
"2","Large1"
"3","Mm2pr"
"4","Rbm44"
"5","Nectin3"
"6","Agap1"
"7","Pimreg"
"8","Myo6"
"9","Dscc1"
"10","Rdh9"
"11","Gatm"
"12","Gsta4"
"13","Spic"
"14","Flt3"
"15","Dnase1l3"
"16","Pld4"
"17","Plbd1"
"18","Alox5ap"
"19","Jchain"
"20","Yes1"
"21","Pira2"
"22","Slc4a4"
"23","Ace"
"24","Carmil1"
"25","Cd180"
"26","Naaa"
"27","Dtx4"
"28","Tbc1d9"
"29","Trpm2"
"30","Arl11"
"31","Gpr141b"
"32","Mpeg1"
"33","Gas7"
"34","Slc11a1"
"35","Ctsh"
"36","Spi1"
"37","H2-Ab1"
"38","H2-Aa"
"39","Cd74"
"40","H2-Eb1"
"41","Sirpa"
"42","Clec12a"
"43","Lyz2"
"44","Gm39425"
"45","Pilrb2"
"46","Rassf4"
"47","Napsa"
"48","Fam240a"
"49","Apobr"
"50","Mmp11"
"51","Hfe"
"52","Dmrta1"
"53","Ly6c2"
"54","Wdfy3"
"55","Gm31754"
"56","Pcdhgc4"
"57","Fcgr4"
"58","Fgfr3"
"59","Efemp2"
"60","Glrx"
"61","Mafa"
"62","Dtl"
"63","A430018G15Rik"
"64","Zfp300"
"65","Igsf8"
"66","Zbtb38"
"67","Scd2"
"68","Tmem86a"
"69","Dnajc12"
"70","Zfp273"
"71","Rab3a"
"72","Sema4b"
"73","4930579G24Rik"
"74","Pltp"
"75","Cmpk2"
"76","Cdr2l"
"77","C1qa"
"78","Adgrl2"
"79","C1qtnf5"
"80","2310016D23Rik"
"81","Steap3"
"82","Htra4"
"83","Foxq1"
"84","Fst"
"85","Tbc1d2"
"86","Gm52182"
"87","Ear2"
"88","Tgm1"
"89","Tns3"
"90","Vwf"
"91","Ppp1r14a"
"92","Ugt1a7c"
"93","A630072M18Rik"
"94","Gm40842"
"95","Ceacam2"
"96","Ffar2"
"97","Gm52400"
"98","Bmp8a"
"99","Ctnnal1"
"100","Klhl23"
"101","Gas2l1"
"102","Emp1"
"103","Vdr"
"104","Nrarp"
"105","Slc35e4"
"106","Shisa2"
"107","Cdkn1c"
"108","Syt13"
"109","H2ac15"
"110","Sdc1"
"111","Tbr1"
"112","Spon2"
"113","Prdm8"
"114","Pla2g4a"
"115","Emilin3"
"116","Tfap2a"
"117","Efcab15"
"118","Gm36559"
"119","Gm49208"
"120","Adra2a"
"121","Slc24a1"
"122","Gm41145"
"123","Gper1"
"124","Bcl2l14"
"125","Obsl1"
"126","Gm29967"
"127","Large2"
"128","Zfp947"
"129","3110006O06Rik"
"130","Mdfi"
"131","Nfil3"
"132","Sox8"
"133","Ckb"
"134","C5ar1"
"135","Asb2"
"136","E2f1"
"137","Pla2g15"
"138","Cebpd"
"139","Gm15743"
"140","B430306N03Rik"
"141","Pstpip1"
"142","Bmpr1a"
"143","Arl4d"
"144","Rasd1"
"145","Ndnf"
"146","Shb"
"147","Fgfrl1"
"148","Cpne2"
"149","Chrna2"
"150","Gm8075"
"151","Ihh"
"152","Bcl2"
"153","Mcemp1"
